ISIN,SYMBOL,EXDATE,SUBJECT
"INE066F01012","HAL","28-Sep-2023","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share"
"INE593W01010","FOCUS","06-Oct-2023","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE335A01012","SURYAROSNI","06-Oct-2023","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share"
"INE0D0K01014","SIGACHI","09-Oct-2023","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE083B01016","THEMISMED","10-Oct-2023","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE06H201014","GENSOL","17-Oct-2023","Bonus 2:1"
"INE900L01010","MBAPL","20-Oct-2023","Bonus 1:1"
"INE669X01016","GEEKAYWIRE","23-Oct-2023","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE506W01012","KRISHANA","25-Oct-2023","Bonus 1:1"
"INE571B01028","JAYBARMARU","26-Oct-2023","Face Value Split (Sub-Division) - From Rs 5/- Per Share To Rs 2/- Per Share"
"INE412G01016","BCLIND","27-Oct-2023","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE187D01011","TALBROAUTO","27-Oct-2023","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE997Y01019","MITTAL","01-Nov-2023","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE068L01016","CANTABIL","02-Nov-2023","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE864X01013","DPWIRES","08-Nov-2023","Bonus 1:7"
"INE0GSL01016","HPAL","09-Nov-2023","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE642Y01011","HINDCON","10-Nov-2023","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE964W01013","MKPL","10-Nov-2023","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE0ALR01011","ATALREAL","16-Nov-2023","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE151G01010","SHAILY","23-Nov-2023","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE02PY01013","BOROLTD","05-Dec-2023","Demerger"
"INE429E01023","SAFARI","12-Dec-2023","Bonus 1:1"
"INE269A01021","SONATSOFTW","12-Dec-2023","Bonus 1:1"
"INE065J01016","TPHQ","14-Dec-2023","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE00Z501011","KRITIKA","19-Dec-2023","Bonus 2:1"
"INE02EZ01014","AXITA","22-Dec-2023","Bonus 1:3"
"INE0ECP01016","HMAAGRO","29-Dec-2023","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE418H01029","ALLCARGO","02-Jan-2024","Bonus 3:1"
"INE239A01016","NESTLEIND","05-Jan-2024","Face Value Split (Sub-Division) - From Rs10/- Per Share To Re 1/- Per Share"
"INE940H01014","PGIL","05-Jan-2024","Face Value Split (Sub-Division) - From Rs10/- Per Share To Rs 5/- Per Share"
"INE704P01017","COCHINSHIP","10-Jan-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share"
"INE418N01035","ESSENTIA","11-Jan-2024","Bonus 1:1"
"INE619B01017","NEWGEN","12-Jan-2024","Bonus 1:1"
"INE04AK01010","SBC","19-Jan-2024","Bonus 1:2"
"INE920A01029","DOLPHIN","25-Jan-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE879E01029","KANANIIND","30-Jan-2024","Bonus 1:1"
"INE170V01019","SALASAR","01-Feb-2024","Bonus 4:1"
"INE00IK01011","OSWALSEEDS","02-Feb-2024","Bonus 1:5"
"INE149K01016","SANDUMA","02-Feb-2024","Bonus 5:1"
"INE256Z01017","AKSHAR","15-Feb-2024","Bonus 1:5"
"INE542W01017","KPIGREEN","15-Feb-2024","Bonus 1:2"
"INE102B01014","CHOICEIN","20-Feb-2024","Bonus 1:1"
"INE348L01012","MASFIN","22-Feb-2024","Bonus 2:1"
"INE760W01015","RPPL","26-Feb-2024","Bonus 2:1"
"INE03RS01019","DRCSYSTEMS","27-Feb-2024","Bonus 2:1"
"INE737H01014","FIEMIND","28-Feb-2024","Bonus 1:1"
"INE180C01018","CGCL","05-Mar-2024","Bonus 1:1"
"INE180C01018","CGCL","05-Mar-2024","Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share"
"INE00VM01010","MANORAMA","07-Mar-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE036B01022","GAEL","15-Mar-2024","Bonus 1:1"
"INE964W01013","MKPL","15-Mar-2024","Bonus 2:1"
"INE230R01019","RAMASTEEL","19-Mar-2024","Bonus 2:1"
"INE199C01026","ADVANIHOTR","20-Mar-2024","Bonus 1:1"
"INE0JM501013","NRL","20-Mar-2024","Bonus 1:2"
"INE420C01042","PAISALO","20-Mar-2024","Bonus 1:1"
"INE056I01017","REFEX","22-Mar-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE740X01015","LAL","28-Mar-2024","Bonus 6:11"
"INE740X01015","LAL","28-Mar-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE262H01013","PERSISTENT","28-Mar-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share"
"INE509F01011","CUPID","04-Apr-2024","Bonus 1:1"
"INE509F01011","CUPID","04-Apr-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE0EEJ01015","BTML","05-Apr-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE05ST01010","SBGLP","18-Apr-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE112D01035","MHLXMIRU","19-Apr-2024","Demerger"
"INE294Z01018","ANUP","23-Apr-2024","Bonus 1:1"
"INE464A01028","BBL","24-Apr-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share"
"INE414D01019","BHAGCHEM","02-May-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 1/- Per Share"
"INE617A01013","SEMAC","03-May-2024","Demerger"
"INE00LM01011","SONAMLTD","10-May-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share"
"INE476A01014","CANBK","15-May-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE835A01011","VARDMNPOLY","17-May-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE899L01030","UEL","22-May-2024","Demerger"
"INE171Z01018","BDL","24-May-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share"
"INE075D01018","GMBREW","24-May-2024","Bonus 1:4"
"INE066P01011","INOXWIND","24-May-2024","Bonus 3:1"
"INE480C01012","SDBL","24-May-2024","Face Value Split (Sub-Division) - From Rs 5/- Per Share To Rs 2/- Per Share"
"INE618N01014","BALAXI","30-May-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE179G01011","DAVANGERE","31-May-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE338I01027","MOTILALOFS","10-Jun-2024","Bonus 3:1"
"INE058A01010","SANOFI","13-Jun-2024","Demerger"
"INE0BTI01029","KAMOPAINTS","14-Jun-2024","Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share"
"INE029A01011","BPCL","21-Jun-2024","Bonus 1:1"
"INE094A01015","HINDPETRO","21-Jun-2024","Bonus 1:2"
"INE863B01011","PREMEXPLN","21-Jun-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE132H01018","AURIONPRO","27-Jun-2024","Bonus 1:1"
"INE932X01018","SHAREINDIA","27-Jun-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE323B01016","AVONMORE","28-Jun-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 1/- Per Share"
"INE321D01016","OCCL","01-Jul-2024","Demerger"
