ISIN,SYMBOL,EXDATE,FACTOR,STATUS,CHECKED_AT,NOTE
INE105A01035,TVSHLTD,08-Sep-2026,,tv-unadjusted,2026-09-26 15:04,TradingView shows no adjustment for this event (raw ex-date move -2.7%)
INE545A01024,HEGAM,07-Sep-2026,0.363487,adjusted,2026-09-26 15:04,Pre-ex-date prices scaled by 0.36349 to match TradingView (raw ex-date move -62.6%)
INE560A01023,INDIAGLYCO,02-Sep-2026,0.206532,adjusted,2026-09-26 15:04,Pre-ex-date prices scaled by 0.20653 to match TradingView (raw ex-date move -78.8%)
INE076B01028,SIYSIL,21-Aug-2026,,tv-unadjusted,2026-09-26 15:04,TradingView shows no adjustment for this event (raw ex-date move -6.4%)
INE510W01014,INOXGREEN,31-Jul-2026,,tv-unadjusted,2026-09-26 15:04,TradingView shows no adjustment for this event (raw ex-date move -3.1%)
INE256C01024,TRIVENI,22-Jul-2026,0.617603,adjusted,2026-09-26 15:04,Pre-ex-date prices scaled by 0.61760 to match TradingView (raw ex-date move -41.6%)
INE844O01030,GUJENERGY,02-Jul-2026,,tv-unadjusted,2026-09-26 15:04,TradingView shows no adjustment for this event (raw ex-date move -11.7%)
INE205A01025,VEDL,30-Apr-2026,0.375969,adjusted,2026-09-26 15:04,Pre-ex-date prices scaled by 0.37597 to match TradingView (raw ex-date move -64.9%)
INE955D01029,GENUSPOWER,06-Feb-2026,,tv-unadjusted,2026-09-26 15:04,TradingView shows no adjustment for this event (raw ex-date move +3.3%)
INE843D01027,DCMSRIND,26-Dec-2025,0.320690,adjusted,2026-09-26 15:04,Pre-ex-date prices scaled by 0.32069 to match TradingView (raw ex-date move -68.3%)
INE030A01027,HINDUNILVR,05-Dec-2025,0.984506,adjusted,2026-09-26 15:04,Pre-ex-date prices scaled by 0.98451 to match TradingView (raw ex-date move -5.0%)
INE418H01029,ALLCARGO,12-Nov-2025,0.352040,adjusted,2026-09-26 15:04,Pre-ex-date prices scaled by 0.35204 to match TradingView (raw ex-date move -64.9%)
INE495A01022,DALMIASUG,31-Oct-2025,,tv-unadjusted,2026-09-26 15:04,TradingView shows no adjustment for this event (raw ex-date move -0.6%)
INE640A01023,SKFINDIA,15-Oct-2025,0.478142,adjusted,2026-09-26 15:04,Pre-ex-date prices scaled by 0.47814 to match TradingView (raw ex-date move -54.8%)
INE155A01022,TMPV,14-Oct-2025,0.603722,adjusted,2026-09-26 15:04,Pre-ex-date prices scaled by 0.60372 to match TradingView (raw ex-date move -40.2%)
INE274V01019,SHANKARA,24-Sep-2025,0.251388,adjusted,2026-09-26 15:04,Pre-ex-date prices scaled by 0.25139 to match TradingView (raw ex-date move -75.5%)
